Performance ID,Activity ID,Activity Type ID,Distance,Calories,Time (minutes),Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Avg Pace (min/km),Best Pace (min/km)
263_AT002,263,AT002,6.97,588.0,42.1,159,174,3.8,159.0,6.03,4.57
264_AT002,264,AT002,6.59,552.0,39.03,159,176,3.9,161.0,5.92,4.2
265_AT002,265,AT002,7.22,596.0,42.4,158,172,4.0,165.0,5.87,4.92
266_AT002,266,AT002,6.55,525.0,36.1,162,180,4.3,165.0,5.52,4.58
267_AT010,267,AT010,9.39,663.0,55.77,141,164,3.6,,,
268_AT010,268,AT010,9.59,725.0,64.78,140,169,3.6,,,
269_AT009,269,AT009,0.0,771.0,63.33,140,174,4.2,,,
270_AT002,270,AT002,7.36,594.0,40.77,163,182,4.8,167.0,5.55,4.55
271_AT002,271,AT002,7.46,603.0,43.1,157,179,4.4,161.0,5.78,4.95
272_AT002,272,AT002,5.0,408.0,30.12,152,171,3.6,157.0,6.03,5.1
273_AT002,273,AT002,7.39,606.0,42.75,160,173,4.5,163.0,5.78,4.63
274_AT002,274,AT002,4.87,399.0,31.68,142,157,3.2,152.0,6.5,4.92
275_AT002,275,AT002,5.02,424.0,29.33,161,184,4.1,162.0,5.83,5.07
276_AT002,276,AT002,4.03,338.0,25.42,152,172,3.4,160.0,6.32,5.17
277_AT002,277,AT002,3.39,291.0,23.7,147,168,3.0,148.0,7.0,5.47
278_AT007,278,AT007,0.0,567.0,49.35,145,182,4.4,54.0,,
279_AT007,279,AT007,0.0,299.0,23.07,145,169,3.3,74.0,,
280_AT007,280,AT007,0.0,403.0,35.8,138,172,3.4,64.0,,
281_AT007,281,AT007,0.0,353.0,35.88,126,162,3.1,51.0,,
282_AT001,282,AT001,4.07,325.0,31.13,130,156,3.1,144.0,7.65,5.63
283_AT007,283,AT007,0.0,390.0,53.27,115,168,3.0,27.0,,
284_AT002,284,AT002,5.44,456.0,34.43,144,167,3.5,165.0,6.33,5.02
285_AT007,285,AT007,0.0,621.0,57.47,131,161,3.3,19.0,,
286_AT007,286,AT007,0.0,557.0,50.32,131,164,3.2,19.0,,
287_AT007,287,AT007,0.0,407.0,39.63,125,161,3.0,68.0,,
288_AT007,288,AT007,0.0,533.0,45.58,134,155,3.2,12.0,,
289_AT007,289,AT007,0.0,585.0,50.38,135,170,3.3,16.0,,
290_AT007,290,AT007,0.0,593.0,53.97,134,164,3.3,24.0,,
291_AT002,291,AT002,5.17,474.0,37.62,149,177,4.1,133.0,7.27,5.4
292_AT007,292,AT007,0.0,403.0,43.08,124,159,3.0,23.0,,
293_AT007,293,AT007,0.0,337.0,40.75,116,155,2.3,27.0,,
294_AT007,294,AT007,0.02,358.0,33.5,134,170,3.1,47.0,,
295_AT002,295,AT002,4.89,411.0,28.4,155,171,3.9,162.0,5.82,5.23
296_AT007,296,AT007,0.0,312.0,32.53,127,162,2.9,36.0,,
297_AT007,297,AT007,0.0,389.0,30.13,149,184,3.6,48.0,,
298_AT007,298,AT007,0.0,372.0,31.8,140,173,3.4,58.0,,
299_AT007,299,AT007,0.0,398.0,32.83,144,178,3.6,67.0,,
300_AT007,300,AT007,0.0,259.0,22.18,134,166,2.9,57.0,,
301_AT002,301,AT002,4.73,386.0,27.47,151,168,3.6,159.0,5.8,4.37
302_AT002,302,AT002,4.95,411.0,29.72,148,163,3.5,157.0,6.0,5.18
303_AT002,303,AT002,5.06,427.0,29.77,152,168,3.7,158.0,5.88,5.25
304_AT002,304,AT002,4.77,448.0,28.32,166,180,4.5,157.0,5.93,4.85
305_AT002,305,AT002,4.64,380.0,25.83,156,179,3.9,161.0,5.57,4.77
